district,citizens
Antoninek-Zieliniec-Kobylepole,9884
Chartowo,24552
Fabianowo-Kotowo,1718
G³ówna,4044
G³uszyna,3857
Górczyn,13154
Grunwald Po³udnie,25714
Grunwald Pó³noc,15013
Jana III Sobieskiego i Marysieñki,9961
Je¿yce,24489
Junikowo,8837
Kiekrz,1728
Krzesiny-Pokrzywno-Garaszewo,2118
Krzy¿owniki-Smochowice,7795
Kwiatowe,4496
£awica,6507
Morasko-Radojewo,1917
Naramowice,15128
Nowe Winogrady Po³udnie,15544
Nowe Winogrady Pó³noc,17427
Nowe Winogrady Wschód,7231
Ogrody,6598
Ostrów Tumski-Œródka-Zawady-Komandoria,6281
Pi¹tkowo,36479
Podolany,7203
Rataje,40328
So³acz,5555
Stare Miasto,30433
Stare Winogrady,7467
Staro³êka-Minikowo-Marlewo,9669
Stary Grunwald,3545
Strzeszyn,6935
Szczepankowo-Sp³awie-Krzesinki,6307
Œwierczewo,14230
Œw. £azarz,36351
Umultowo,4120
Warszawskie-Pomet-Maltañskie,6997
Wilda,29205
Winiary,15991
Wola,5372
Zielony Dêbiec,13777
¯egrze,18388